labels,label_index,time_interval,path_image
relax,1,4,exp_protocols/pics/relax.png
tiptoe,2,3,exp_protocols/pics/tiptoe.png
relax,1,4,exp_protocols/pics/relax.png
heels,3,3,exp_protocols/pics/heels.png
relax,1,4,exp_protocols/pics/relax.png
tiptoe,2,3,exp_protocols/pics/tiptoe.png
relax,1,4,exp_protocols/pics/relax.png
heels,3,3,exp_protocols/pics/heels.png
relax,1,4,exp_protocols/pics/relax.png
tiptoe,2,3,exp_protocols/pics/tiptoe.png
relax,1,4,exp_protocols/pics/relax.png
heels,3,3,exp_protocols/pics/heels.png
relax,1,4,exp_protocols/pics/relax.png
tiptoe,2,3,exp_protocols/pics/tiptoe.png
relax,1,4,exp_protocols/pics/relax.png
heels,3,3,exp_protocols/pics/heels.png
relax,1,4,exp_protocols/pics/relax.png
